Year, Term, Subject, CourseNo, Name, Section, Category, Days, WeekFreq, StartWeek, Time, Location, Instructor, Credits, MaxSeat, OpenSeat, Session, Email, EndWeek
2014,Fall,AAS,100,Intro Asian American Studies,AD1,undergraduate,R      ,1,1,01:00PM - 01:50PM,222 David Kinley Hall,Arnaldo; C,3,0,0,Full semester, ,
2014,Fall,AAS,100,Intro Asian American Studies,AD2,undergraduate,R      ,1,1,02:00PM - 02:50PM,219 David Kinley Hall,Arnaldo; C,3,0,0,Full semester, ,
2014,Fall,AAS,100,Intro Asian American Studies,AD3,undergraduate,W      ,1,1,10:00AM - 10:50AM,111 David Kinley Hall,Arnaldo; C,3,0,0,Full semester, ,
2014,Fall,AAS,100,Intro Asian American Studies,AD4,undergraduate,W      ,1,1,11:00AM - 11:50AM,111 David Kinley Hall,Arnaldo; C,3,0,0,Full semester, ,
2014,Fall,AAS,100,Intro Asian American Studies,AD5,undergraduate,W      ,1,1,01:00PM - 01:50PM,222 David Kinley Hall,Arnaldo; C,3,0,0,Full semester, ,
2014,Fall,AAS,100,Intro Asian American Studies,AD6,undergraduate,W      ,1,1,02:00PM - 02:50PM,222 David Kinley Hall,Arnaldo; C,3,0,0,Full semester, ,
2014,Fall,AAS,100,Intro Asian American Studies,AL1,undergraduate,TR     ,1,1,11:00AM - 11:50AM,180 Bevier Hall,Arnaldo; C,3,0,0,Full semester, ,
2014,Fall,AAS,100,Intro Asian American Studies,B  ,undergraduate,TR     ,1,1,03:00PM - 04:20PM,1066 Lincoln Hall,Paik; A,3,0,0,Full semester, ,
2014,Fall,AAS,201,US Racial & Ethnic Politics,AD1,undergraduate,F      ,1,1,09:00AM - 09:50AM,310 David Kinley Hall,Chereson; P,3,0,0,Full semester, ,
2014,Fall,AAS,201,US Racial & Ethnic Politics,AD2,undergraduate,F      ,1,1,10:00AM - 10:50AM,310 David Kinley Hall,Chereson; P,3,0,0,Full semester, ,
2014,Fall,AAS,201,US Racial & Ethnic Politics,AD3,undergraduate,F      ,1,1,02:00PM - 02:50PM,310 David Kinley Hall,Chereson; P,3,0,0,Full semester, ,
2014,Fall,AAS,201,US Racial & Ethnic Politics,AD4,undergraduate,F      ,1,1,09:00AM - 09:50AM,312 David Kinley Hall,Hugg; V,3,0,0,Full semester, ,
2014,Fall,AAS,201,US Racial & Ethnic Politics,AD5,undergraduate,F      ,1,1,10:00AM - 10:50AM,312 David Kinley Hall,Hugg; V,3,0,0,Full semester, ,
2014,Fall,AAS,201,US Racial & Ethnic Politics,AL1,undergraduate,MW     ,1,1,11:00AM - 11:50AM,62 Krannert Art Museum,Wong; C,3,0,0,Full semester, ,
2014,Fall,AAS,211,Asian Americans and the Arts,A  ,undergraduate,TR     ,1,1,02:00PM - 03:20PM,242 Bevier Hall,Nguyen; M,3,0,0,Full semester, ,
2014,Fall,AAS,258,Muslims in America,A  ,undergraduate,TR     ,1,1,01:00PM - 02:20PM,311 Gregory Hall,Rana; J,3,0,0,Full semester, ,
2014,Fall,AAS,283,Asian American History,B  ,undergraduate,TR     ,1,1,03:00PM - 05:50PM,G18 Foreign Languages Building,Shinozuka; J,3,0,0,Full semester, ,
2014,Fall,AAS,287,Food and Asian Americans,A  ,undergraduate,TR     ,1,1,03:00PM - 04:20PM,226 Wohlers Hall,Manalansan; M,3,0,0,Full semester, ,
2014,Fall,AAS,299,Begin Topics Asian Am Studies,NGO,undergraduate,M      ,1,1,03:00PM - 05:20PM,212 David Kinley Hall,Ngo; F,3,0,0,Full semester, ,
2014,Fall,AAS,310,Race and Cultural Diversity,A  ,undergraduate,R      ,1,1,02:00PM - 03:50PM,389 Education Building,Ward; R,4,0,0,Full semester, ,
2014,Fall,AAS,310,Race and Cultural Diversity,B  ,undergraduate,R      ,1,1,02:00PM - 03:50PM,162 Education Building,,4,0,0,Full semester, ,
2014,Fall,AAS,390,Intermed Topics Asian Am St,NPU,undergraduate,TR     ,1,1,12:30PM - 01:50PM,211 Davenport Hall,Paik; A,3,0,0,Full semester, ,
2014,Fall,AAS,397,Asian Families in America,A  ,undergraduate,MW     ,1,1,04:00PM - 05:15PM,2027 1010 W Nevada,Balgopal; A,3,0,0,Full semester, ,
